,,,,,,,Generator ,,,,Generator,,,,Mains Power Cabinet,,,,,Additional Power cabinet,,,,,Batteries,,,,Aircon 1,,,Aircon 2,,,SOLAR,,,,Environnement Statut,,,,SHELTER,,,,,,,,,,,
Site ID IHS,ID Operator,Name site,Topology,Indoor/Outdoor,SBC,# nber of Gen,Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (V/AH),Battery type,Battery Number,Brand,Capacity (V/W),Statut (OK/NOK),Brand,Capacity (V/W),Statut (OK/NOK),#Nber of pannel,Brand,Capacity,Working (OK/NOK),Leakage  OK/NOK,Abandonned equipment on site YES/NO,Site cleaning OK/NOK,Light Statut OK/NOK,Shelter statut,Comments if we have issues on site,Timeline to closed those issues,"Overall site statut 
SBC Feedback",Final Site statut SS  OK/NOK,DATE,,j,j,j,j,j
IHS_EDA_015,LIT_314,Edea-Nkakanzock,Grid-Gen,Outdoor,GRATO,1,EARTH TECHNOLOGIY,,,15,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,No name,No name,16,,,,,,,,,,,,,,,,;POOR BACKUP;,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_290,LIT_297,Lendi-Entree,Grid-Gen,Outdoor,GRATO,0,TRION,,,30,,,,,,ZTE 36 KW,ZTE ,,8,,,,,,,VISION 48V/150AH,VISION 48V/150AH,8,,,,,,,,,,,,,,,,;GRILLE DE PROTECTION NON SOUDEE;,,,,02/19/2026 15:00:00,,,,,,
IHS_EDA_007,T1772,Edea Beon,Grid-Gen,Outdoor,GRATO,0,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,Monbat 170 AH,Monbat 170 AH,8,,,,,,,,,,,,,,,,ALTERNATEUR DE CHARGE FAULTY; CHARGEUR STATISQUE FAULTY;1/2 REDRESSEUR FAULTY/ LE pcs3 n'affiche pas la valeur du load;,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_223,LIT_106,Denver,Grid-Gen,Indoor,GRATO,1,COLOR CERAMICA,,,15,,,,,,IPT 12 KW,DELTA,,3,,,,,,,Sacred sun 12V-175AH,Sacred sun 12V-175AH,8,,,,,,,,,,,,,,,,,,,,02/19/2026 15:00:00,,,,,,
IHS_EDA_016,LIT_323,Okoth,Grid-Gen,Outdoor,GRATO,1,G POWER,,,15,,,,,,IPT 24 KW,DELTA,,3,,,,,,,VISION 48V/150AH,VISION 48V/150AH,4,,,,,,,,,,,,,,,,;LE PSC3 N'AFFICHE PAS LE LOAD / CONTACTEUR ET DISJONCTEUR ENEO FAULTY/ RCP FAULTY;,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_432,LIT_446,Bonamoussadi Hôpital,Grid-Gen,Outdoor,GRATO,1,IPT TRION,,,15,,,,,,IPT 12KW,DELTA,,3,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,;2 RACK DE BATTERIE FONCTIONNELLE SUR 4;,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_450,LIT_454,Kotto Eglise EPC,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,15,,,,,,ZTE 24 KW,ZTE,,6,,,,,,,VISION 48V/150AH,VISION 48V/150AH,4,,,,,,,,,,,,,,,,,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_227,T0864,Bonamoussadi Careffour,Grid-Gen,Outdoor,GRATO,1,Jubaili  Bros,,,17,,,,,,IPT - 12KW,DELTA,,3,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_225,T2295,New Bonamoussadi,Grid-Gen,Outdoor,GRATO,1,ELCOS,,,17,,,,,,IPT - 12KW,DELTA,,4,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_485,T2759,Denver Total,Grid-Gen,Outdoor,GRATO,1,JUBALI BROSS,,,30,,,,,,IPT - 12 KW,DELTA,,4,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,LE GE NE SUPPORTE PLUS LA CHARGE/ AFFICHEUR DE LA CARTE FAULTY;PL7 3 N'AFFICHE PLUS LES VALEURS/ POOR BACKUP;,,,,02/19/2026 15:00:00,,,,,,
IHS_DLA_423,T1732,Bonaberi Isenbeck,Grid-Gen,Outdoor,GRATO,1,GMC,,,33,,,,,,HUAWEI 24KW,HUAWEI,,8,,,,,,,CD TRUE 12V-172AH,CD TRUE 12V-172AH,24,,,,,,,,,,,,,,,,,,,,01/26/2026 09:00:00,,,,,,
IHS_BNB_100,T1940,ngwelle 2,Grid-Gen,Outdoor,GRATO,1,TECHNO,,,20,,,,,,IPT 12 KW,DELTA,,5,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 19:00:00,,,,,,
